epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,93.2362,1.33822,2.08232,0.27823,0.90094,1.13449,0.93563,0.48341,0.5152,0.30995,0.87569,0.41736,0.39024,0.24553,1.37982,2.709,0.13842,0.90251,1.10308,0.00154488,0.00154488,0.00154488
76,94.4198,1.32672,2.00408,0.29795,0.87755,1.12517,0.44153,0.48095,0.51904,0.30515,0.87501,0.4,0.37613,0.24174,1.38097,2.70311,0.13988,0.90506,1.12294,0.00154323,0.00154323,0.00154323
77,95.5683,1.32526,1.90533,0.2662,0.86373,1.11854,0.44153,0.48095,0.51904,0.30515,0.87501,0.4,0.37613,0.24174,1.38097,2.70311,0.13988,0.90506,1.12294,0.00154157,0.00154157,0.00154157
78,96.7699,1.25857,2.00438,0.29255,0.85613,1.09988,0.93698,0.47619,0.50666,0.29941,0.85496,0.38571,0.35824,0.24417,1.38346,2.7517,0.13566,0.90042,1.13776,0.00153992,0.00153992,0.00153992
79,97.9438,1.30106,1.85923,0.26476,0.89225,1.11449,0.38516,0.57381,0.51011,0.30997,0.86328,0.38095,0.36808,0.24131,1.35778,2.77567,0.1311,0.87682,1.11528,0.00153827,0.00153827,0.00153827
80,99.0781,1.35447,2.17442,0.28436,0.8843,1.13031,0.40437,0.57381,0.52083,0.31499,0.35674,0.48333,0.38062,0.24773,1.38757,2.78669,0.12784,0.88472,1.10608,0.00153662,0.00153662,0.00153662
81,100.21,1.28249,1.93395,0.29571,0.85099,1.12073,0.40437,0.57381,0.52083,0.31499,0.35674,0.48333,0.38062,0.24773,1.38757,2.78669,0.12784,0.88472,1.10608,0.00153497,0.00153497,0.00153497
82,101.384,1.33633,1.87503,0.26014,0.85321,1.12537,0.43752,0.61682,0.52827,0.31545,0.37456,0.51658,0.39147,0.24344,1.41989,2.78458,0.12893,0.88351,1.11067,0.00153332,0.00153332,0.00153332
83,102.519,1.28866,1.90214,0.30224,0.91863,1.10856,0.43598,0.57381,0.52683,0.316,0.37488,0.4881,0.37389,0.23893,1.38908,2.79866,0.13316,0.88722,1.11723,0.00153167,0.00153167,0.00153167
84,103.654,1.27289,2.11042,0.30144,0.84307,1.10763,0.47229,0.56409,0.53223,0.32037,0.40369,0.48415,0.37714,0.23893,1.38816,2.79125,0.13259,0.90388,1.14262,0.00153002,0.00153002,0.00153002
85,104.77,1.34024,2.15131,0.2651,0.90035,1.12262,0.47229,0.56409,0.53223,0.32037,0.40369,0.48415,0.37714,0.23893,1.38816,2.79125,0.13259,0.90388,1.14262,0.00152837,0.00152837,0.00152837
86,105.932,1.34738,1.98808,0.29147,0.90143,1.1285,0.41556,0.53214,0.52536,0.31523,0.3763,0.43214,0.34831,0.22963,1.41287,2.96592,0.1324,0.92407,1.16377,0.00152672,0.00152672,0.00152672
87,107.094,1.34037,1.89769,0.26724,0.87835,1.14277,0.40085,0.53214,0.52241,0.31373,0.35379,0.43214,0.33066,0.20521,1.38433,3.1137,0.12875,0.91248,1.13067,0.00152507,0.00152507,0.00152507
88,108.295,1.28019,1.91349,0.24116,0.87334,1.07845,0.42162,0.53214,0.52824,0.31858,0.35392,0.43214,0.34416,0.21846,1.38572,2.9904,0.12751,0.8937,1.11698,0.00152342,0.00152342,0.00152342
89,109.431,1.314,1.87818,0.2529,0.85098,1.10273,0.42162,0.53214,0.52824,0.31858,0.35392,0.43214,0.34416,0.21846,1.38572,2.9904,0.12751,0.8937,1.11698,0.00152177,0.00152177,0.00152177
90,110.595,1.2591,1.87942,0.28244,0.84258,1.10716,0.37494,0.57857,0.51397,0.31086,0.87665,0.36353,0.34853,0.22657,1.36679,2.9199,0.12891,0.92036,1.11998,0.00152012,0.00152012,0.00152012
91,111.718,1.35152,1.95144,0.27741,0.91664,1.10148,0.4172,0.47986,0.49538,0.29537,0.87745,0.38571,0.34726,0.2352,1.38997,2.85485,0.12823,0.92477,1.14419,0.00151847,0.00151847,0.00151847
92,112.89,1.24317,1.98842,0.34002,0.88769,1.14207,0.92424,0.47997,0.49534,0.29908,0.88198,0.40075,0.3621,0.24878,1.37182,2.71326,0.12533,0.92691,1.13882,0.00151682,0.00151682,0.00151682
93,114.036,1.25447,1.91748,0.27796,0.83656,1.12529,0.92424,0.47997,0.49534,0.29908,0.88198,0.40075,0.3621,0.24878,1.37182,2.71326,0.12533,0.92691,1.13882,0.00151517,0.00151517,0.00151517
94,115.211,1.29762,1.94366,0.31522,0.8509,1.13341,0.93554,0.4826,0.50602,0.3111,0.89344,0.40952,0.37917,0.25426,1.36882,2.50017,0.12448,0.90983,1.12484,0.00151352,0.00151352,0.00151352
95,116.374,1.24224,1.86678,0.29981,0.85661,1.12481,0.94166,0.47619,0.51038,0.30313,0.89951,0.42381,0.40857,0.26674,1.39193,2.29018,0.12751,0.91085,1.12396,0.00151187,0.00151187,0.00151187
96,117.584,1.33216,2.05097,0.25871,0.87442,1.10791,0.94292,0.48035,0.51206,0.30621,0.90217,0.43333,0.42282,0.28132,1.39673,2.2715,0.12893,0.91455,1.12424,0.00151022,0.00151022,0.00151022
97,118.733,1.31232,2.12877,0.28881,0.86737,1.1102,0.94292,0.48035,0.51206,0.30621,0.90217,0.43333,0.42282,0.28132,1.39673,2.2715,0.12893,0.91455,1.12424,0.00150857,0.00150857,0.00150857
98,119.981,1.27797,1.84809,0.23425,0.78422,1.10926,0.41607,0.53214,0.52069,0.31309,0.90629,0.4381,0.42242,0.28505,1.37343,2.28401,0.12624,0.90253,1.13098,0.00150692,0.00150692,0.00150692
99,121.197,1.20918,1.9122,0.24364,0.80937,1.0748,0.50202,0.62024,0.54216,0.32394,0.45616,0.53739,0.42154,0.28293,1.37998,2.43387,0.12245,0.90839,1.14859,0.00150527,0.00150527,0.00150527
100,122.411,1.33193,1.94066,0.25721,0.86113,1.13567,0.62268,0.57512,0.54852,0.33592,0.47906,0.46429,0.37459,0.25022,1.38939,2.87103,0.12417,0.91397,1.1386,0.00150362,0.00150362,0.00150362
101,123.552,1.21374,1.90239,0.26447,0.8732,1.09787,0.62268,0.57512,0.54852,0.33592,0.47906,0.46429,0.37459,0.25022,1.38939,2.87103,0.12417,0.91397,1.1386,0.00150197,0.00150197,0.00150197
102,124.716,1.27457,1.76028,0.26808,0.80781,1.10929,0.46271,0.64762,0.52627,0.32719,0.3947,0.48333,0.38208,0.25297,1.36651,2.78259,0.12354,0.91868,1.12427,0.00150032,0.00150032,0.00150032
103,125.888,1.33629,2.12522,0.25273,0.82137,1.08486,0.52571,0.67585,0.54683,0.33767,0.419,0.5356,0.36793,0.24316,1.34627,2.87323,0.12604,0.88862,1.11469,0.00149867,0.00149867,0.00149867
104,127.06,1.25483,1.89061,0.255,0.81709,1.11302,0.52,0.65714,0.53212,0.33285,0.42563,0.52514,0.38852,0.25099,1.33173,2.88359,0.12718,0.88608,1.10615,0.00149702,0.00149702,0.00149702
105,128.213,1.26395,1.96547,0.23146,0.80289,1.05212,0.52,0.65714,0.53212,0.33285,0.42563,0.52514,0.38852,0.25099,1.33173,2.88359,0.12718,0.88608,1.10615,0.00149537,0.00149537,0.00149537
106,129.385,1.23763,1.99161,0.22034,0.79411,1.06476,0.49289,0.61129,0.51928,0.32463,0.4068,0.51071,0.36766,0.23152,1.32961,2.9154,0.1249,0.91884,1.10614,0.00149372,0.00149372,0.00149372
107,130.551,1.27735,1.78113,0.26769,0.77565,1.0878,0.46417,0.57381,0.51519,0.32365,0.36887,0.45952,0.33427,0.21406,1.30121,3.00979,0.11992,0.89161,1.0973,0.00149207,0.00149207,0.00149207
108,131.734,1.30304,1.86213,0.3384,0.93789,1.18432,0.4557,0.57381,0.5136,0.31601,0.34421,0.4131,0.33446,0.22744,1.33342,3.08146,0.11712,0.86891,1.09483,0.00149041,0.00149041,0.00149041
109,132.844,1.35736,1.96875,0.20048,0.80649,1.08528,0.4557,0.57381,0.5136,0.31601,0.34421,0.4131,0.33446,0.22744,1.33342,3.08146,0.11712,0.86891,1.09483,0.00148876,0.00148876,0.00148876
110,134.002,1.27745,1.80663,0.2436,0.87152,1.08378,0.43965,0.52738,0.51804,0.3077,0.38016,0.42262,0.35751,0.24672,1.39741,2.90694,0.11414,0.87593,1.10759,0.00148711,0.00148711,0.00148711
111,135.159,1.24524,1.82562,0.26864,0.84326,1.08839,0.41559,0.53214,0.53946,0.32429,0.43264,0.45595,0.40332,0.27928,1.41846,2.53405,0.11419,0.87168,1.11496,0.00148546,0.00148546,0.00148546
112,136.302,1.19295,1.88909,0.25097,0.79775,1.06532,0.43651,0.57857,0.54001,0.32837,0.40137,0.5119,0.41664,0.29141,1.39795,2.35109,0.11616,0.86682,1.11848,0.00148381,0.00148381,0.00148381
113,137.459,1.37059,1.70005,0.23157,0.81863,1.18137,0.43651,0.57857,0.54001,0.32837,0.40137,0.5119,0.41664,0.29141,1.39795,2.35109,0.11616,0.86682,1.11848,0.00148216,0.00148216,0.00148216
114,138.654,1.33638,2.05337,0.29665,0.87144,1.16287,0.41925,0.57857,0.51795,0.32035,0.37259,0.5119,0.40506,0.27736,1.36969,2.35533,0.11571,0.89267,1.10848,0.00148051,0.00148051,0.00148051
115,139.838,1.22406,1.9414,0.24677,0.80668,1.08648,0.40313,0.57857,0.51821,0.32149,0.36562,0.51667,0.41165,0.28284,1.37048,2.42206,0.11361,0.92833,1.10553,0.00147886,0.00147886,0.00147886
